 x_m, y_m, vx_mps, ax_mps2
70.4151805,771.5471533,38.6806424,3.7966867
70.2428992,773.5399893,38.8764268,3.7565243
70.080216,775.5331212,39.0691745,3.7264724
69.9264191,777.527319,39.2594453,3.7098355
69.7815326,779.5216202,39.4479551,3.6756986
69.6456188,781.5166956,39.6338459,3.6443412
69.5184224,783.512374,39.8172942,3.6273387
69.3996693,785.5084052,39.9990511,3.5949829
69.2890729,787.5050247,40.1783755,3.5623081
69.186377,789.5020079,40.3552841,3.5452929
69.091352,791.4993826,40.5305809,3.5153778
69.0037599,793.4971737,40.7036533,3.4818498
68.923402,795.494962,40.8743525,3.4651403
68.8505621,797.493125,41.0435278,3.4376467
68.7854531,799.4919053,41.2106745,3.4010255
68.727785,801.4899932,41.3753761,3.3839343
68.6769162,803.4894937,41.5386019,3.3572672
68.6324303,805.4890399,41.6999101,3.3219531
68.5941991,807.4879483,41.8589096,3.306177
68.5620585,809.4877748,42.0165567,3.28106
68.5358857,811.4875135,42.1724235,3.2476395
68.5155475,813.486992,42.3261374,3.2328552
68.500937,815.4868985,42.4785991,3.208607
68.4918508,817.4866334,42.6293782,3.1776221
68.4878839,819.4865135,42.7781774,3.1637382
68.4886174,821.4862327,42.925814,3.1404307
68.493985,823.4858629,43.0718626,3.1115055
68.5044415,825.4856538,43.2160791,3.0979473
68.5200818,827.4851853,43.3591908,3.0749024
68.5408427,829.4847335,43.5007722,3.0471963
68.566688,831.4843411,43.6406248,3.0338813
68.5975727,833.4837252,43.7794225,3.0113107
68.63346,835.4830744,43.9167539,2.9846625
68.67432,837.4824009,44.0524474,2.9716129
68.7201236,839.4815227,44.1871338,2.9495855
68.7708529,841.4805612,44.3204169,2.9238284
68.8264929,843.4795074,44.4521418,2.9110415
68.8870312,845.4782569,44.582904,2.8895765
68.9524647,847.4768763,44.7123238,2.8645903
69.022793,849.4753407,44.8402558,2.8520563
69.0980198,851.4736074,44.9672664,2.8311354
69.1781554,853.4716975,45.0929915,2.8068324
69.2632126,855.4695742,45.2172924,2.7945357
69.3532116,857.4672432,45.3407101,2.7741148
69.4481741,859.4646883,45.4628946,2.750404
69.5481255,861.4618598,45.5837114,2.7382908
69.6531377,863.4588235,45.7036788,2.7182415
69.7632963,865.4554956,45.8224573,2.6951803
69.8786839,867.4518913,45.9399248,2.6833411
69.9992818,869.4479495,46.0565787,2.6638285
70.1250715,871.4436814,46.1720928,2.6413403
70.2561038,873.4390959,46.2863471,2.629671
70.3924307,875.4341329,46.3998171,2.6105186
70.5341118,877.4288014,46.512187,2.588557
70.6812113,879.423094,46.623344,2.5770585
70.8337929,881.4169514,46.7337447,2.558282
70.9919292,883.4103837,46.8430836,2.5367643
71.1556938,885.4033691,46.9512514,2.5254049
71.3251624,887.3958637,47.058688,2.5069591
71.5004172,889.387866,47.1650977,2.4858067
71.681541,891.3793348,47.2703731,2.4745538
71.868622,893.3702578,47.3749396,2.4563816
72.061751,895.3606102,47.4785104,2.4355244
72.2610174,897.3503243,47.5809792,2.4243457
72.4665246,899.3394391,47.682759,2.406374
72.6783688,901.3278922,47.78357,2.3857575
72.8966451,903.3155782,47.8833077,2.3746293
73.1214721,905.3026223,47.9823743,2.3567816
73.3529287,907.288898,48.0804945,2.3365331
73.5910248,909.2742421,48.1775744,2.325451
73.8354938,911.2589624,48.2740001,2.3075626
74.0862347,913.2429117,48.369494,2.2872688
74.343764,915.225908,48.4639624,2.2761656
74.6084704,917.2081707,48.5577897,2.2582169
74.880506,919.1892993,48.6506984,2.238437
75.160032,921.1695111,48.7426185,2.2273604
75.4471341,923.1485144,48.8339119,2.2092495
75.7419498,925.1263519,48.9242948,2.1896385
76.044652,927.1032789,49.013711,2.1783679
76.3552425,929.0785869,49.1025053,2.160038
76.6739964,931.0526834,49.1903942,2.1403171
77.0013426,933.0255958,49.277326,2.128642
77.3375966,934.9965308,49.3636318,2.1099624
77.6830012,936.9661239,49.4490316,2.0895374
78.037162,938.9342881,49.5334596,2.0776372
78.3999992,940.900702,49.6172643,2.0593985
78.7717007,942.8655175,49.7001939,2.0389885
79.1523947,944.8287162,49.7821655,2.0271514
79.5421645,946.7899971,49.8635277,2.0094685
79.9411734,948.7494524,49.9440493,1.9888994
80.3495653,950.7070898,50.023619,1.9771429
80.7674171,952.6625975,50.1025932,1.9601541
81.1948874,954.6160313,50.180766,1.939389
81.6321308,956.5673984,50.2579911,1.9275854
82.0792056,958.5163907,50.3346288,1.911064
82.5362592,960.4631298,50.4104945,1.8894338
83.0033846,962.4074719,50.4853895,1.8773542
83.4806898,964.3493345,50.5596959,1.8611078
83.968297,966.288692,50.6332515,1.8386613
84.4662707,968.2253001,50.7058152,1.8264066
84.9747581,970.159263,50.7777926,1.8105262
85.4938597,972.090478,50.8490437,1.7873254
86.0235846,974.0185667,50.9192839,1.7748576
86.5640307,975.9439853,50.9889383,1.7591666
87.1150091,977.866355,51.0578832,1.7359036
87.6765502,979.785833,51.1258253,1.7239097
88.2488841,981.7019426,51.1932087,1.7093245
88.8322667,983.6144379,51.2599345,1.6863199
89.4270111,985.5239844,51.3256773,1.6745532
90.0329472,987.429669,51.3908781,1.6608449
90.6501499,989.3313972,51.4554636,1.6381733
91.2790202,991.2300906,51.5190881,1.6268105
91.919253,993.1245246,51.5821937,1.61438
