x,y,l_width,r_width
80.9194,619.5514,5,5
81.91453,619.45284,5,5
82.90966,619.35427,5,5
83.90479,619.25571,5,5
84.89855,619.27676,5,5
85.88359,619.44807,5,5
86.85492,619.68501,5,5
87.8083,619.98611,5,5
88.73951,620.35004,5,5
89.64438,620.77522,5,5
90.51889,621.25979,5,5
91.35914,621.80164,5,5
92.16134,622.39839,5,5
92.9215,623.04785,5,5
93.63653,623.74665,5,5
94.30322,624.49171,5,5
94.91853,625.27972,5,5
95.47969,626.10718,5,5
95.98412,626.97039,5,5
96.42954,627.8655,5,5
96.81364,628.78859,5,5
97.13462,629.73548,5,5
97.39128,630.70177,5,5
97.58244,631.68311,5,5
97.70723,632.67508,5,5
97.76507,633.67319,5,5
97.75568,634.67294,5,5
97.67912,635.66982,5,5
97.51839,636.65567,5,5
97.27652,637.62598,5,5
97.03465,638.59629,5,5
96.79279,639.5666,5,5
96.55092,640.53691,5,5
96.30906,641.50722,5,5
96.06719,642.47753,5,5
95.82532,643.44784,5,5
95.58346,644.41815,5,5
95.34159,645.38846,5,5
95.09973,646.35877,5,5
94.85786,647.32908,5,5
94.61599,648.29939,5,5
94.37413,649.2697,5,5
94.13226,650.24001,5,5
93.8904,651.21032,5,5
93.64853,652.18063,5,5
93.40666,653.15094,5,5
93.1648,654.12125,5,5
92.92293,655.09156,5,5
92.68107,656.06187,5,5
92.4392,657.03218,5,5
92.19733,658.00248,5,5
91.95547,658.97279,5,5
91.7136,659.9431,5,5
91.47174,660.91341,5,5
91.22987,661.88372,5,5
90.988,662.85403,5,5
90.74614,663.82434,5,5
90.50427,664.79465,5,5
90.26241,665.76496,5,5
90.02054,666.73527,5,5
89.77867,667.70558,5,5
89.53681,668.67589,5,5
89.29494,669.6462,5,5
89.05308,670.61651,5,5
88.81121,671.58682,5,5
88.56934,672.55713,5,5
88.32748,673.52744,5,5
88.08561,674.49775,5,5
87.84375,675.46806,5,5
87.60188,676.43837,5,5
87.36001,677.40868,5,5
87.11815,678.37899,5,5
86.87628,679.3493,5,5
86.63442,680.31961,5,5
86.39255,681.28992,5,5
86.15068,682.26023,5,5
85.90882,683.23054,5,5
85.66695,684.20085,5,5
85.42509,685.17116,5,5
85.18322,686.14146,5,5
84.94135,687.11177,5,5
84.69949,688.08208,5,5
84.45762,689.05239,5,5
84.21576,690.0227,5,5
83.97389,690.99301,5,5
83.73202,691.96332,5,5
83.49016,692.93363,5,5
83.24829,693.90394,5,5
83.00643,694.87425,5,5
82.76456,695.84456,5,5
82.52269,696.81487,5,5
82.28083,697.78518,5,5
82.03896,698.75549,5,5
81.7971,699.7258,5,5
81.55523,700.69611,5,5
81.31336,701.66642,5,5
81.0715,702.63673,5,5
